Nome,Nascimento,CPF,RG,Endereço,Telefone,Login,Senha
Heitor Santos,1965-08-10,275.601.894-58,570413862,"Vale Caldeira, 31, Liberdade, 21454-492 Abreu / AC",(92) 97987-0271,cynpyc7108,7pBg%V5V)k
Dr. Paulo Montenegro,2003-05-29,325.691.408-05,73854601X,"Parque Mariane Casa Grande, Vila Ouro Minas, 29724620 Santos da Mata / CE",(64) 98050-4800,rgwyooj5213,!CLnL2An*)
Isabella Silva,1957-06-04,426.073.591-80,305274181,"Condomínio Rodrigues, 977, Prado, 89088174 Rodrigues de Lima / SC",(29) 96443-3900,fgkrb7860,)aLJISUE87
Dr. Benjamim Pires,1940-06-20,679.438.025-00,704821539,"Área Castro, 38, Flavio Marques Lisboa, 06780-866 Pires / AL",(47) 97648-7366,jyvva608,U6VY+UqV!l
Raquel Campos,2024-08-14,852.901.437-50,817250645,"Lago Moura, Vila Jardim Alvorada, 63764-867 Sampaio / RO",(86) 96230-5065,zutat828,(MI$ljqQ1x
Josué Brito,1967-03-03,128.537.946-28,871053640,"Fazenda de Vieira, 60, Vila Da Ária, 29199-000 Garcia / RN",(52) 93093-3817,lbqbfcr48,(13sX4Un8m
Carolina Silva,1968-06-17,325.691.408-05,870416327,"Rodovia Nogueira, 85, Novo Santa Cecilia, 51470363 Fogaça / PE",(95) 99545-4236,urlugj5723,XkN72kdn%4
Ágatha Alves,1933-12-07,376.102.958-68,384160724,"Área de Gonçalves, 26, Vila Nova Cachoeirinha 2ª Seção, 27941940 Farias / ES",(89) 96710-8728,xjwrita35,(l7qMMue9l
Sr. Mateus Jesus,1980-03-12,396.127.580-77,568317026,"Lagoa Julia Ferreira, 787, Conjunto Califórnia I, 31648-217 Caldeira / PE",(01) 90193-4437,ukooquoz598,!CLnL2An*)
Srta. Maria Isis Farias,2014-08-31,769.182.340-13,623804517,"Conjunto Pires, 7, Vila Do Pombal, 97724-902 Silveira da Praia / MA",(74) 97594-7488,zhxok625,)sPcwVcEH9
